# name   Z   N   A     Y(final)         Y(decay)         Y(seed)      
     n   0   1   1   3.47876E-92   0.00000E+00   0.00000E+00
     p   1   0   1   1.07072E-21   1.07072E-21   1.08621E-29
     d   1   1   2   0.00000E+00   0.00000E+00   7.20081E-06
   he3   2   1   3   0.00000E+00   0.00000E+00   1.50545E-05
   he4   2   2   4   1.38563E-01   1.38563E-01   1.40503E-01
   li7   3   4   7   0.00000E+00   0.00000E+00   1.31551E-09
   be7   4   3   7   0.00000E+00   0.00000E+00   0.00000E+00
    b8   5   3   8   0.00000E+00   0.00000E+00   0.00000E+00
   b10   5   5  10   0.00000E+00   0.00000E+00   7.80242E-11
   b11   5   6  11   0.00000E+00   0.00000E+00   3.14057E-10
   c11   6   5  11   0.00000E+00   0.00000E+00   0.00000E+00
   c12   6   6  12   2.72996E-02   2.72996E-02   2.77808E-02
   c13   6   7  13   1.50351E-07   1.50351E-07   1.51387E-03
   c14   6   8  14   1.78294E-05   0.00000E+00   0.00000E+00
   c15   6   9  15   0.00000E+00   0.00000E+00   0.00000E+00
   n13   7   6  13   0.00000E+00   0.00000E+00   0.00000E+00
   n14   7   7  14   3.43767E-04   3.61597E-04   3.67671E-04
   n15   7   8  15   7.20994E-06   7.20994E-06   6.05475E-09
   o15   8   7  15   0.00000E+00   0.00000E+00   0.00000E+00
   o16   8   8  16   4.66975E-03   4.66975E-03   2.72139E-03
   o17   8   9  17   1.04881E-05   1.04881E-05   1.65817E-07
   o18   8  10  18   3.66709E-05   3.66709E-05   2.70506E-09
   o19   8  11  19   0.00000E+00   0.00000E+00   0.00000E+00
   f17   9   8  17   0.00000E+00   0.00000E+00   0.00000E+00
   f18   9   9  18   0.00000E+00   0.00000E+00   0.00000E+00
   f19   9  10  19   1.45562E-07   1.45562E-07   9.49285E-11
   f20   9  11  20   0.00000E+00   0.00000E+00   0.00000E+00
  ne20  10  10  20   5.99475E-05   5.99475E-05   6.18862E-05
  ne21  10  11  21   1.14618E-06   1.14618E-06   1.48351E-07
  ne22  10  12  22   1.35870E-03   1.35870E-03   1.42702E-03
  ne23  10  13  23   0.00000E+00   0.00000E+00   0.00000E+00
  ne24  10  14  24   0.00000E+00   0.00000E+00   0.00000E+00
  na21  11  10  21   0.00000E+00   0.00000E+00   0.00000E+00
  na22  11  11  22   0.00000E+00   0.00000E+00   0.00000E+00
  na23  11  12  23   1.98722E-05   1.98722E-05   1.35949E-06
  na24  11  13  24   0.00000E+00   0.00000E+00   0.00000E+00
  na25  11  14  25   0.00000E+00   0.00000E+00   0.00000E+00
  mg23  12  11  23   0.00000E+00   0.00000E+00   0.00000E+00
  mg24  12  12  24   7.04420E-05   7.04419E-05   2.46008E-05
  mg25  12  13  25   2.77958E-06   2.77958E-06   3.11441E-06
  mg26  12  14  26   8.47190E-06   8.47190E-06   3.42897E-06
  mg27  12  15  27   0.00000E+00   0.00000E+00   0.00000E+00
  mg28  12  16  28   0.00000E+00   0.00000E+00   0.00000E+00
  al25  13  12  25   0.00000E+00   0.00000E+00   0.00000E+00
  al-6  13  13  26   5.79033E-14   0.00000E+00   0.00000E+00
  al*6  13  13  26   0.00000E+00   0.00000E+00   0.00000E+00
  al27  13  14  27   1.30766E-07   1.30766E-07   2.20484E-06
  al28  13  15  28   0.00000E+00   0.00000E+00   0.00000E+00
  al29  13  16  29   0.00000E+00   0.00000E+00   0.00000E+00
  si26  14  12  26   0.00000E+00   0.00000E+00   0.00000E+00
