#   t [s]                T [GK]               rho [g/cm^3]         r [km]      Ye = 0.41 at T = 10 GK
#----------------------------------------------------------------------------------------------------
   9.77198412E-02       9.99927333E+00       3.88380374E+06       3.21964833E+01    0.41
   9.77294407E-02       9.99427534E+00       3.87778562E+06       3.22108785E+01    0.41
   9.77390393E-02       9.98927986E+00       3.87177702E+06       3.22252816E+01    0.41
   9.77486368E-02       9.98428686E+00       3.86577793E+06       3.22396926E+01    0.41
   9.77582333E-02       9.97929636E+00       3.85978835E+06       3.22541116E+01    0.41
   9.77678288E-02       9.97430836E+00       3.85380824E+06       3.22685386E+01    0.41
   9.77774233E-02       9.96932286E+00       3.84783760E+06       3.22829735E+01    0.41
   9.77870169E-02       9.96433984E+00       3.84187640E+06       3.22974164E+01    0.41
   9.77966094E-02       9.95935931E+00       3.83592465E+06       3.23118672E+01    0.41
   9.78062009E-02       9.95438128E+00       3.82998231E+06       3.23263261E+01    0.41
   9.78157914E-02       9.94940573E+00       3.82404938E+06       3.23407929E+01    0.41
   9.78253810E-02       9.94443267E+00       3.81812583E+06       3.23552677E+01    0.41
   9.78349695E-02       9.93946210E+00       3.81221166E+06       3.23697505E+01    0.41
   9.78445570E-02       9.93449400E+00       3.80630685E+06       3.23842412E+01    0.41
   9.78541436E-02       9.92952840E+00       3.80041137E+06       3.23987400E+01    0.41
   9.78637292E-02       9.92456527E+00       3.79452523E+06       3.24132468E+01    0.41
   9.78733138E-02       9.91960463E+00       3.78864839E+06       3.24277615E+01    0.41
   9.78828974E-02       9.91464646E+00       3.78278086E+06       3.24422843E+01    0.41
   9.78924800E-02       9.90969078E+00       3.77692260E+06       3.24568151E+01    0.41
   9.79020616E-02       9.90473757E+00       3.77107361E+06       3.24713539E+01    0.41
   9.79116423E-02       9.89978683E+00       3.76523388E+06       3.24859008E+01    0.41
   9.79212219E-02       9.89483858E+00       3.75940337E+06       3.25004556E+01    0.41
   9.79308006E-02       9.88989278E+00       3.75358209E+06       3.25150186E+01    0.41
   9.79403784E-02       9.88494947E+00       3.74777001E+06       3.25295895E+01    0.41
   9.79499551E-02       9.88000862E+00       3.74196713E+06       3.25441685E+01    0.41
   9.79595309E-02       9.87507026E+00       3.73617342E+06       3.25587555E+01    0.41
   9.79691057E-02       9.87013435E+00       3.73038887E+06       3.25733506E+01    0.41
   9.79786795E-02       9.86520091E+00       3.72461346E+06       3.25879537E+01    0.41
   9.79882524E-02       9.86026994E+00       3.71884719E+06       3.26025649E+01    0.41
   9.79978243E-02       9.85534142E+00       3.71309003E+06       3.26171842E+01    0.41
   9.80073952E-02       9.85041538E+00       3.70734198E+06       3.26318115E+01    0.41
   9.80169652E-02       9.84549180E+00       3.70160300E+06       3.26464469E+01    0.41
   9.80265342E-02       9.84057069E+00       3.69587310E+06       3.26610904E+01    0.41
   9.80361022E-02       9.83565203E+00       3.69015226E+06       3.26757419E+01    0.41
   9.80456693E-02       9.83073582E+00       3.68444046E+06       3.26904015E+01    0.41
   9.80552355E-02       9.82582207E+00       3.67873768E+06       3.27050693E+01    0.41
   9.80648006E-02       9.82091079E+00       3.67304391E+06       3.27197451E+01    0.41
   9.80743648E-02       9.81600196E+00       3.66735915E+06       3.27344290E+01    0.41
   9.80839281E-02       9.81109557E+00       3.66168336E+06       3.27491211E+01    0.41
   9.80934904E-02       9.80619165E+00       3.65601654E+06       3.27638212E+01    0.41
   9.81030518E-02       9.80129016E+00       3.65035868E+06       3.27785295E+01    0.41
   9.81126122E-02       9.79639113E+00       3.64470975E+06       3.27932458E+01    0.41
   9.81221717E-02       9.79149455E+00       3.63906975E+06       3.28079703E+01    0.41
   9.81317302E-02       9.78660042E+00       3.63343866E+06       3.28227030E+01    0.41
   9.81412877E-02       9.78170874E+00       3.62781646E+06       3.28374437E+01    0.41
   9.81508444E-02       9.77681950E+00       3.62220314E+06       3.28521926E+01    0.41
   9.81604001E-02       9.77193271E+00       3.61659868E+06       3.28669496E+01    0.41
   9.81699548E-02       9.76704835E+00       3.61100308E+06       3.28817148E+01    0.41
   9.81795086E-02       9.76216644E+00       3.60541632E+06       3.28964881E+01    0.41
   9.81890615E-02       9.75728697E+00       3.59983837E+06       3.29112696E+01    0.41
   9.81986134E-02       9.75240993E+00       3.59426924E+06       3.29260592E+01    0.41
   9.82081644E-02       9.74753534E+00       3.58870890E+06       3.29408570E+01    0.41
   9.82177145E-02       9.74266318E+00       3.58315734E+06       3.29556630E+01    0.41
   9.82272636E-02       9.73779345E+00       3.57761454E+06       3.29704771E+01    0.41
   9.82368119E-02       9.73292616E+00       3.57208049E+06       3.29852995E+01    0.41
   9.82463591E-02       9.72806131E+00       3.56655518E+06       3.30001300E+01    0.41
   9.82559055E-02       9.72319888E+00       3.56103859E+06       3.30149686E+01    0.41
   9.82654509E-02       9.71833889E+00       3.55553071E+06       3.30298155E+01    0.41
   9.82749954E-02       9.71348133E+00       3.55003152E+06       3.30446706E+01    0.41
   9.82845390E-02       9.70862619E+00       3.54454101E+06       3.30595338E+01    0.41
   9.82940817E-02       9.70377348E+00       3.53905917E+06       3.30744053E+01    0.41
   9.83036234E-02       9.69892319E+00       3.53358598E+06       3.30892850E+01    0.41
   9.83131642E-02       9.69407534E+00       3.52812142E+06       3.31041729E+01    0.41
   9.83227041E-02       9.68922990E+00       3.52266549E+06       3.31190690E+01    0.41
   9.83322431E-02       9.68438687E+00       3.51721816E+06       3.31339733E+01    0.41
   9.83417812E-02       9.67954629E+00       3.51177943E+06       3.31488859E+01    0.41
   9.83513184E-02       9.67470810E+00       3.50634929E+06       3.31638067E+01    0.41
   9.83608546E-02       9.66987235E+00       3.50092770E+06       3.31787357E+01    0.41
   9.83703899E-02       9.66503901E+00       3.49551468E+06       3.31936730E+01    0.41
   9.83799244E-02       9.66020809E+00       3.49011019E+06       3.32086185E+01    0.41
   9.83894579E-02       9.65537958E+00       3.48471422E+06       3.32235723E+01    0.41
   9.83989905E-02       9.65055348E+00       3.47932677E+06       3.32385343E+01    0.41
   9.84085223E-02       9.64572980E+00       3.47394781E+06       3.32535046E+01    0.41
   9.84180531E-02       9.64090852E+00       3.46857734E+06       3.32684831E+01    0.41
   9.84275830E-02       9.63608966E+00       3.46321533E+06       3.32834699E+01    0.41
   9.84371120E-02       9.63127321E+00       3.45786178E+06       3.32984650E+01    0.41
   9.84466401E-02       9.62645916E+00       3.45251668E+06       3.33134684E+01    0.41
   9.84561674E-02       9.62164751E+00       3.44718000E+06       3.33284800E+01    0.41
   9.84656937E-02       9.61683828E+00       3.44185174E+06       3.33435000E+01    0.41
   9.84752191E-02       9.61203145E+00       3.43653187E+06       3.33585282E+01    0.41
   9.84847437E-02       9.60722702E+00       3.43122040E+06       3.33735647E+01    0.41
   9.84942673E-02       9.60242500E+00       3.42591729E+06       3.33886095E+01    0.41
   9.85037901E-02       9.59762536E+00       3.42062255E+06       3.34036627E+01    0.41
   9.85133120E-02       9.59282814E+00       3.41533616E+06       3.34187241E+01    0.41
   9.85228330E-02       9.58803331E+00       3.41005809E+06       3.34337939E+01    0.41
   9.85323531E-02       9.58324087E+00       3.40478835E+06       3.34488719E+01    0.41
   9.85418723E-02       9.57845083E+00       3.39952691E+06       3.34639583E+01    0.41
   9.85513906E-02       9.57366319E+00       3.39427376E+06       3.34790531E+01    0.41
   9.85609081E-02       9.56887794E+00       3.38902889E+06       3.34941561E+01    0.41
   9.85704247E-02       9.56409507E+00       3.38379229E+06       3.35092675E+01    0.41
   9.85799404E-02       9.55931461E+00       3.37856393E+06       3.35243873E+01    0.41
   9.85894552E-02       9.55453653E+00       3.37334382E+06       3.35395154E+01    0.41
   9.85989691E-02       9.54976084E+00       3.36813193E+06       3.35546518E+01    0.41
   9.86084822E-02       9.54498754E+00       3.36292825E+06       3.35697966E+01    0.41
   9.86179944E-02       9.54021661E+00       3.35773277E+06       3.35849497E+01    0.41
   9.86275058E-02       9.53544808E+00       3.35254548E+06       3.36001113E+01    0.41
   9.86370162E-02       9.53068193E+00       3.34736635E+06       3.36152812E+01    0.41
   9.86465258E-02       9.52591817E+00       3.34219539E+06       3.36304594E+01    0.41
   9.86560346E-02       9.52115678E+00       3.33703256E+06       3.36456461E+01    0.41
   9.86655424E-02       9.51639777E+00       3.33187788E+06       3.36608411E+01    0.41
   9.86750495E-02       9.51164115E+00       3.32673130E+06       3.36760445E+01    0.41
