# time[s], T9[GK], density[g/cm^3], R[km], Ye

0.0000e+00 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
5.2074e-22 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.5622e-21 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
3.6452e-21 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
7.8111e-21 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.6143e-20 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
3.2807e-20 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
6.6134e-20 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.3279e-19 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.6610e-19 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
5.3272e-19 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.0660e-18 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.1324e-18 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
4.2654e-18 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
8.5313e-18 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.7063e-17 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
3.4127e-17 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
6.8254e-17 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.3651e-16 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.7302e-16 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
5.4604e-16 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.0921e-15 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.7296e-15 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.4358e-15 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
3.2188e-15 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
4.0877e-15 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
5.0527e-15 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
6.1256e-15 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
7.3200e-15 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
8.6512e-15 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.0137e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.1799e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.3660e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.5750e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.8101e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.0755e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.3759e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.7172e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
3.1066e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
3.5530e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
4.0618e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
4.5817e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
5.1194e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
5.6807e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
6.2713e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
6.8969e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
7.5635e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
8.2779e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
9.0478e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
9.8818e-14 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.0791e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.1786e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.2885e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.4104e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.5469e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.7010e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.8767e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.0796e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.3172e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.6006e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.8950e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
3.2563e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
3.6818e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
4.0736e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
4.5553e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
5.1713e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
6.0040e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
7.2274e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
8.7099e-13 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.0337e-12 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.2247e-12 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.4709e-12 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.8338e-12 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.5015e-12 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
3.8370e-12 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
6.5078e-12 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.1850e-11 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.2533e-11 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
4.3900e-11 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
8.4478e-11 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.3209e-10 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.8981e-10 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.6312e-10 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
3.6244e-10 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
5.1007e-10 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
7.6110e-10 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.2632e-09 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
2.2673e-09 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
4.2755e-09 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
8.2920e-09 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.6325e-08 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
3.2391e-08 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
6.4523e-08 7.4245e+00 8.2008e+07 4.8570e+02 0.18818
1.2879e-07 7.4244e+00 8.2007e+07 4.8570e+02 0.18818
2.5731e-07 7.4244e+00 8.2005e+07 4.8570e+02 0.18818
5.1437e-07 7.4243e+00 8.2002e+07 4.8571e+02 0.18818
1.0285e-06 7.4241e+00 8.1995e+07 4.8572e+02 0.18818
2.0567e-06 7.4237e+00 8.1982e+07 4.8575e+02 0.18818
4.1131e-06 7.4229e+00 8.1956e+07 4.8580e+02 0.18818
8.2260e-06 7.4213e+00 8.1905e+07 4.8590e+02 0.18818
1.6452e-05 7.4182e+00 8.1801e+07 4.8611e+02 0.18818
