# time[s], T9[GK], density[g/cm^3], R[km], Ye, Le[erg/s], Lebar[erg/s], Te[MeV], Tebar[Mev]
#Nr: 122080
4.000000e-01 3.361924e+00 4.350630e+06 2.714224e+03 4.974947e-01 2.6350e+52 1.1738e+47 3.3709e+00 2.1047e+00
4.010000e-01 3.360464e+00 4.347397e+06 2.712905e+03 4.974962e-01 2.8315e+52 1.1869e+47 3.3970e+00 2.1185e+00
4.020000e-01 3.358979e+00 4.344097e+06 2.711573e+03 4.974980e-01 3.0931e+52 1.2033e+47 3.4209e+00 2.1322e+00
4.030000e-01 3.357474e+00 4.340741e+06 2.710227e+03 4.975000e-01 3.4254e+52 1.2172e+47 3.4420e+00 2.1477e+00
4.040000e-01 3.355953e+00 4.337339e+06 2.708867e+03 4.975023e-01 3.8278e+52 1.2332e+47 3.4616e+00 2.1629e+00
4.050000e-01 3.354422e+00 4.333901e+06 2.707494e+03 4.975048e-01 4.3201e+52 1.2467e+47 3.4832e+00 2.1793e+00
4.060000e-01 3.352886e+00 4.330440e+06 2.706106e+03 4.975076e-01 4.8459e+52 1.2595e+47 3.5112e+00 2.1967e+00
4.070000e-01 3.351350e+00 4.326969e+06 2.704705e+03 4.975107e-01 5.4518e+52 1.2712e+47 3.5311e+00 2.2151e+00
4.080000e-01 3.349821e+00 4.323504e+06 2.703289e+03 4.975140e-01 6.2459e+52 1.2771e+47 3.5396e+00 2.2380e+00
4.090000e-01 3.348146e+00 4.320058e+06 2.701858e+03 4.975175e-01 7.2355e+52 1.2492e+47 3.5510e+00 2.2679e+00
4.100000e-01 3.346372e+00 4.316646e+06 2.700414e+03 4.975213e-01 8.4110e+52 1.2346e+47 3.5591e+00 2.2911e+00
4.110000e-01 3.344606e+00 4.313281e+06 2.698954e+03 4.975253e-01 9.7297e+52 1.2308e+47 3.5883e+00 2.3209e+00
4.120000e-01 3.342852e+00 4.309974e+06 2.697480e+03 4.975296e-01 1.0897e+53 1.2318e+47 3.6487e+00 2.3535e+00
4.130000e-01 3.341087e+00 4.306740e+06 2.695991e+03 4.975342e-01 1.1626e+53 1.2356e+47 3.7383e+00 2.3874e+00
4.140000e-01 3.339378e+00 4.303606e+06 2.694487e+03 4.975390e-01 1.1506e+53 1.2366e+47 3.8475e+00 2.4309e+00
4.150000e-01 3.337791e+00 4.300616e+06 2.692968e+03 4.975441e-01 9.9282e+52 1.2655e+47 3.9594e+00 2.5207e+00
4.160000e-01 3.336348e+00 4.297796e+06 2.691434e+03 4.975495e-01 7.5801e+52 2.2385e+50 4.0070e+00 3.0578e+00
4.170000e-01 3.335059e+00 4.295152e+06 2.689885e+03 4.975552e-01 2.8096e+53 7.9832e+50 4.9873e+00 4.4036e+00
4.180000e-01 3.334412e+00 4.292280e+06 2.688322e+03 4.975539e-01 5.5475e+53 1.0502e+51 5.7792e+00 4.5039e+00
4.190000e-01 3.334209e+00 4.289423e+06 2.686745e+03 4.975479e-01 4.4790e+53 1.4323e+51 5.5961e+00 4.3326e+00
4.200000e-01 3.334088e+00 4.286864e+06 2.685154e+03 4.975422e-01 3.8600e+53 1.6503e+51 5.4118e+00 4.1229e+00
4.210000e-01 3.334036e+00 4.284579e+06 2.683551e+03 4.975368e-01 3.3992e+53 1.9992e+51 5.1582e+00 4.0698e+00
4.220000e-01 3.334036e+00 4.282539e+06 2.681934e+03 4.975316e-01 3.3006e+53 2.4249e+51 5.0592e+00 4.0153e+00
4.230000e-01 3.334075e+00 4.280717e+06 2.680304e+03 4.975268e-01 3.3452e+53 2.9736e+51 4.9094e+00 4.1588e+00
4.240000e-01 3.334139e+00 4.279088e+06 2.678662e+03 4.975224e-01 3.0766e+53 3.4548e+51 4.7420e+00 4.3526e+00
4.250000e-01 3.334214e+00 4.277626e+06 2.677008e+03 4.975182e-01 2.8030e+53 3.5601e+51 4.6283e+00 4.3827e+00
4.260000e-01 3.334287e+00 4.276307e+06 2.675341e+03 4.975144e-01 2.1548e+53 3.4566e+51 4.3625e+00 4.2707e+00
4.270000e-01 3.334346e+00 4.275108e+06 2.673662e+03 4.975109e-01 1.6803e+53 3.5579e+51 4.1039e+00 4.1588e+00
4.280000e-01 3.334376e+00 4.274006e+06 2.671970e+03 4.975078e-01 1.3686e+53 4.1171e+51 3.9198e+00 4.0689e+00
4.290000e-01 3.334345e+00 4.272984e+06 2.670267e+03 4.975050e-01 1.1807e+53 5.2270e+51 3.8107e+00 4.0415e+00
4.300000e-01 3.334253e+00 4.272021e+06 2.668550e+03 4.975026e-01 1.1361e+53 6.9505e+51 3.7453e+00 4.0908e+00
4.310000e-01 3.333884e+00 4.271103e+06 2.666822e+03 4.975005e-01 1.2713e+53 8.8371e+51 3.7845e+00 4.1460e+00
4.320000e-01 3.333472e+00 4.270213e+06 2.665080e+03 4.974989e-01 1.3923e+53 1.0946e+52 3.8060e+00 4.1795e+00
4.330000e-01 3.333007e+00 4.269338e+06 2.663326e+03 4.974976e-01 1.3285e+53 1.2507e+52 3.7641e+00 4.2110e+00
4.340000e-01 3.332486e+00 4.268463e+06 2.661558e+03 4.974967e-01 1.2029e+53 1.3606e+52 3.7182e+00 4.2442e+00
4.350000e-01 3.331913e+00 4.267576e+06 2.659777e+03 4.974962e-01 1.1478e+53 1.4668e+52 3.6460e+00 4.2130e+00
4.360000e-01 3.331289e+00 4.266667e+06 2.657983e+03 4.974961e-01 1.1243e+53 1.6170e+52 3.5787e+00 4.2359e+00
4.370000e-01 3.330615e+00 4.265724e+06 2.656174e+03 4.974964e-01 1.0687e+53 1.7418e+52 3.5569e+00 4.2902e+00
4.380000e-01 3.329896e+00 4.264739e+06 2.654351e+03 4.974971e-01 9.6924e+52 1.7721e+52 3.5325e+00 4.2970e+00
4.390000e-01 3.329133e+00 4.263706e+06 2.652514e+03 4.974982e-01 8.9309e+52 1.8442e+52 3.5025e+00 4.2597e+00
4.400000e-01 3.328331e+00 4.262617e+06 2.650661e+03 4.974997e-01 8.1356e+52 1.9392e+52 3.4429e+00 4.2359e+00
4.410000e-01 3.327492e+00 4.261470e+06 2.648794e+03 4.975016e-01 7.7183e+52 2.0048e+52 3.3952e+00 4.2476e+00
4.420000e-01 3.326623e+00 4.260261e+06 2.646912e+03 4.975039e-01 7.4138e+52 2.0620e+52 3.3695e+00 4.2424e+00
4.430000e-01 3.325707e+00 4.259002e+06 2.645014e+03 4.975067e-01 7.2469e+52 2.0616e+52 3.3601e+00 4.2257e+00
