# time[s], T9[GK], density[g/cm^3], R[km], Ye

0.0000e+00 1.0965e+01 8.7096e+12 4.9273e+01 0.03488
2.5000e-05 9.9312e+00 7.4131e+12 5.0361e+01 0.03488
5.0000e-05 8.8920e+00 6.3096e+12 5.1519e+01 0.03488
7.6000e-05 7.9068e+00 5.4954e+12 5.2720e+01 0.03488
1.0100e-04 7.1614e+00 4.7863e+12 5.3969e+01 0.03488
1.2600e-04 6.5013e+00 4.2658e+12 5.5257e+01 0.03488
1.5100e-04 5.9979e+00 3.7154e+12 5.6580e+01 0.03488
1.7700e-04 5.5719e+00 3.3113e+12 5.7928e+01 0.03488
2.0200e-04 5.1880e+00 2.9512e+12 5.9310e+01 0.03488
2.2700e-04 4.8865e+00 2.5704e+12 6.0723e+01 0.03488
2.5200e-04 4.5814e+00 2.2909e+12 6.2161e+01 0.03488
2.7700e-04 4.3152e+00 2.0417e+12 6.3629e+01 0.03488
3.0300e-04 4.0458e+00 1.7783e+12 6.5120e+01 0.03488
3.2800e-04 3.8459e+00 1.5849e+12 6.6637e+01 0.03488
3.5300e-04 3.6224e+00 1.4125e+12 6.8176e+01 0.03488
3.7800e-04 3.4435e+00 1.2882e+12 6.9730e+01 0.03488
4.0300e-04 3.2509e+00 1.1482e+12 7.1319e+01 0.03488
4.2900e-04 3.1046e+00 1.0471e+12 7.2916e+01 0.03488
4.5400e-04 2.9580e+00 9.5499e+11 7.4528e+01 0.03488
4.7900e-04 2.8184e+00 8.7096e+11 7.6155e+01 0.03488
5.0400e-04 2.7040e+00 7.9433e+11 7.7798e+01 0.03488
5.2900e-04 2.5704e+00 7.2444e+11 7.9454e+01 0.03488
5.5500e-04 2.4660e+00 6.6069e+11 8.1120e+01 0.03488
5.8000e-04 2.3714e+00 6.0256e+11 8.2794e+01 0.03488
6.0500e-04 2.2699e+00 5.6234e+11 8.4473e+01 0.03488
6.3000e-04 2.1827e+00 5.1286e+11 8.6158e+01 0.03488
6.5600e-04 2.0845e+00 4.7863e+11 8.7853e+01 0.03488
6.8100e-04 1.9907e+00 4.3652e+11 8.9540e+01 0.03488
7.0600e-04 1.9187e+00 4.0738e+11 9.1244e+01 0.03488
7.3100e-04 1.8365e+00 3.7154e+11 9.2936e+01 0.03488
7.5600e-04 1.7620e+00 3.4674e+11 9.4644e+01 0.03488
7.8200e-04 1.6943e+00 3.2359e+11 9.6334e+01 0.03488
8.0700e-04 1.6144e+00 2.9512e+11 9.8038e+01 0.03488
8.3200e-04 1.5453e+00 2.7542e+11 9.9733e+01 0.03488
8.5700e-04 1.4859e+00 2.5704e+11 1.0147e+02 0.03488
8.8200e-04 1.4191e+00 2.3988e+11 1.0312e+02 0.03488
9.0800e-04 1.3552e+00 2.2387e+11 1.0478e+02 0.03488
9.3300e-04 1.3002e+00 2.0893e+11 1.0646e+02 0.03488
9.5800e-04 1.2445e+00 1.9498e+11 1.0816e+02 0.03488
9.8300e-04 1.1858e+00 1.8197e+11 1.0987e+02 0.03488
1.0090e-03 1.1194e+00 1.6982e+11 1.1160e+02 0.03488
1.0340e-03 1.0471e+00 1.6218e+11 1.1325e+02 0.03488
1.0590e-03 9.6605e-01 1.5136e+11 1.1490e+02 0.03488
1.0840e-03 8.9536e-01 1.4125e+11 1.1657e+02 0.03488
1.1090e-03 8.3560e-01 1.3490e+11 1.1826e+02 0.03488
1.1350e-03 7.8886e-01 1.2589e+11 1.1985e+02 0.03488
1.1600e-03 7.2946e-01 1.2023e+11 1.2156e+02 0.03488
1.1850e-03 6.8077e-01 1.1220e+11 1.2317e+02 0.03488
1.2100e-03 6.3973e-01 1.0715e+11 1.2480e+02 0.03488
1.2350e-03 6.0674e-01 1.0233e+11 1.2644e+02 0.03488
1.2610e-03 5.6754e-01 9.5499e+10 1.2809e+02 0.03488
1.2860e-03 5.3211e-01 9.1201e+10 1.2975e+02 0.03488
1.3110e-03 5.0119e-01 8.7096e+10 1.3131e+02 0.03488
1.3360e-03 4.7753e-01 8.3176e+10 1.3299e+02 0.03488
1.3620e-03 4.5499e-01 7.9433e+10 1.3457e+02 0.03488
1.3870e-03 4.2756e-01 7.5858e+10 1.3616e+02 0.03488
1.4120e-03 4.0458e-01 7.2444e+10 1.3786e+02 0.03488
1.4370e-03 3.8548e-01 6.9183e+10 1.3937e+02 0.03488
1.4620e-03 3.6813e-01 6.6069e+10 1.4099e+02 0.03488
1.4880e-03 3.5481e-01 6.3096e+10 1.4261e+02 0.03488
1.5130e-03 3.3497e-01 6.0256e+10 1.4423e+02 0.03488
1.5380e-03 3.1769e-01 5.7544e+10 1.4577e+02 0.03488
1.5630e-03 3.0409e-01 5.6234e+10 1.4731e+02 0.03488
1.5880e-03 2.9242e-01 5.3703e+10 1.4895e+02 0.03488
1.6140e-03 2.8249e-01 5.1286e+10 1.5051e+02 0.03488
1.6390e-03 2.7164e-01 4.8978e+10 1.5206e+02 0.03488
1.6640e-03 2.5882e-01 4.7863e+10 1.5363e+02 0.03488
1.6890e-03 2.4774e-01 4.5709e+10 1.5520e+02 0.03488
1.7150e-03 2.3823e-01 4.4668e+10 1.5667e+02 0.03488
1.7400e-03 2.2961e-01 4.2658e+10 1.5825e+02 0.03488
1.7650e-03 2.2284e-01 4.0738e+10 1.5973e+02 0.03488
1.7900e-03 2.1677e-01 3.9811e+10 1.6132e+02 0.03488
1.8150e-03 2.0701e-01 3.8019e+10 1.6282e+02 0.03488
1.8410e-03 1.9861e-01 3.7154e+10 1.6441e+02 0.03488
1.8660e-03 1.9143e-01 3.5481e+10 1.6591e+02 0.03488
1.8910e-03 1.8493e-01 3.4674e+10 1.6742e+02 0.03488
1.9160e-03 1.7989e-01 3.3884e+10 1.6893e+02 0.03488
1.9410e-03 1.7539e-01 3.2359e+10 1.7044e+02 0.03488
1.9670e-03 1.7140e-01 3.1623e+10 1.7195e+02 0.03488
1.9920e-03 1.6444e-01 3.0903e+10 1.7338e+02 0.03488
2.0170e-03 1.5885e-01 2.9512e+10 1.7490e+02 0.03488
2.0420e-03 1.5382e-01 2.8840e+10 1.7643e+02 0.03488
2.0680e-03 1.4928e-01 2.8184e+10 1.7786e+02 0.03488
2.0930e-03 1.4555e-01 2.6915e+10 1.7939e+02 0.03488
2.1130e-03 1.4223e-01 2.6303e+10 1.8083e+02 0.03488
2.1430e-03 1.3964e-01 2.5704e+10 1.8227e+02 0.03488
2.1730e-03 1.3614e-01 2.5119e+10 1.8372e+02 0.03488
2.1930e-03 1.3183e-01 2.3988e+10 1.8526e+02 0.03488
2.2230e-03 1.2794e-01 2.3442e+10 1.8671e+02 0.03488
2.2430e-03 1.2445e-01 2.2909e+10 1.8816e+02 0.03488
2.2730e-03 1.2134e-01 2.2387e+10 1.8961e+02 0.03488
2.2930e-03 1.1885e-01 2.1380e+10 1.9107e+02 0.03488
2.3230e-03 1.1668e-01 2.0893e+10 1.9243e+02 0.03488
2.3430e-03 1.1482e-01 2.0417e+10 1.9389e+02 0.03488
2.3730e-03 1.1324e-01 1.9953e+10 1.9536e+02 0.03488
2.3930e-03 1.1015e-01 1.9498e+10 1.9673e+02 0.03488
2.4230e-03 1.0715e-01 1.9055e+10 1.9820e+02 0.03488
2.4430e-03 1.0471e-01 1.8621e+10 1.9967e+02 0.03488
2.4730e-03 1.0233e-01 1.8197e+10 2.0104e+02 0.03488
2.4930e-03 1.0046e-01 1.7378e+10 2.0242e+02 0.03488
2.5230e-03 9.8855e-02 1.6982e+10 2.0389e+02 0.03488
2.5430e-03 9.7275e-02 1.6596e+10 2.0528e+02 0.03488
2.5730e-03 9.6161e-02 1.6218e+10 2.0666e+02 0.03488
2.5930e-03 9.5280e-02 1.5849e+10 2.0814e+02 0.03488
2.6230e-03 9.3111e-02 1.5488e+10 2.0952e+02 0.03488
2.6430e-03 9.0782e-02 1.5136e+10 2.1091e+02 0.03488
2.6730e-03 8.8920e-02 1.4791e+10 2.1230e+02 0.03488
2.6930e-03 8.7096e-02 1.4454e+10 2.1369e+02 0.03488
2.7230e-03 8.5507e-02 1.4125e+10 2.1509e+02 0.03488
2.7530e-03 8.4140e-02 1.3804e+10 2.1648e+02 0.03488
2.7730e-03 8.2985e-02 1.3490e+10 2.1778e+02 0.03488
2.8030e-03 8.1846e-02 1.3183e+10 2.1918e+02 0.03488
2.8230e-03 8.1096e-02 1.2882e+10 2.2057e+02 0.03488
2.8530e-03 8.0538e-02 1.2589e+10 2.2197e+02 0.03488
2.8730e-03 7.9068e-02 1.2303e+10 2.2328e+02 0.03488
2.9030e-03 7.7446e-02 1.2023e+10 2.2468e+02 0.03488
2.9230e-03 7.5858e-02 1.1749e+10 2.2599e+02 0.03488
2.9530e-03 7.4473e-02 1.1749e+10 2.2739e+02 0.03488
2.9730e-03 7.3282e-02 1.1482e+10 2.2871e+02 0.03488
3.0030e-03 7.2277e-02 1.1220e+10 2.3011e+02 0.03488
3.0230e-03 7.1450e-02 1.0965e+10 2.3142e+02 0.03488
3.0530e-03 7.0795e-02 1.0715e+10 2.3283e+02 0.03488
3.0730e-03 7.0146e-02 1.0471e+10 2.3415e+02 0.03488
3.1030e-03 6.9663e-02 1.0233e+10 2.3546e+02 0.03488
3.1230e-03 6.9343e-02 1.0000e+10 2.3678e+02 0.03488
3.1530e-03 6.8391e-02 9.8401e+09 2.3819e+02 0.03488
3.1730e-03 6.7143e-02 9.6605e+09 2.3951e+02 0.03488
3.2030e-03 6.6222e-02 9.4624e+09 2.4083e+02 0.03488
3.2230e-03 6.5163e-02 9.2897e+09 2.4215e+02 0.03488
3.2530e-03 6.4269e-02 9.0991e+09 2.4347e+02 0.03488
3.2730e-03 6.3533e-02 8.9331e+09 2.4479e+02 0.03488
3.3030e-03 6.2951e-02 8.7498e+09 2.4612e+02 0.03488
3.3330e-03 6.2373e-02 8.5901e+09 2.4744e+02 0.03488
3.3530e-03 6.1944e-02 8.4333e+09 2.4876e+02 0.03488
3.3830e-03 6.1518e-02 8.2794e+09 2.5009e+02 0.03488
3.4030e-03 6.1235e-02 8.1096e+09 2.5132e+02 0.03488
3.4330e-03 6.1094e-02 7.9616e+09 2.5265e+02 0.03488
3.4530e-03 6.0256e-02 7.8163e+09 2.5397e+02 0.03488
