# time[s], T9[GK], density[g/cm^3], R[km], Ye, Le, Lebar, Tnu, Tnubar

0.0000e+00 1.0054e+01 5.0310e+07 3.4952e+02 0.32658 3.0115E+52 3.9292E+52 3.5629E+00 4.9518E+00
3.7000e-04 9.9869e+00 4.8796e+07 3.5262e+02 0.32682 3.0057E+52 3.9216E+52 3.5632E+00 4.9520E+00
7.5000e-04 9.9212e+00 4.7260e+07 3.5576e+02 0.32704 3.0095E+52 3.9269E+52 3.5631E+00 4.9520E+00
1.1200e-03 9.8551e+00 4.5693e+07 3.5894e+02 0.32727 3.0049E+52 3.9215E+52 3.5632E+00 4.9520E+00
1.5000e-03 9.7868e+00 4.4102e+07 3.6217e+02 0.32749 3.0162E+52 3.9388E+52 3.5629E+00 4.9520E+00
1.8800e-03 9.7192e+00 4.2469e+07 3.6545e+02 0.32770 3.0033E+52 3.9205E+52 3.5634E+00 4.9522E+00
2.2500e-03 9.6499e+00 4.0847e+07 3.6879e+02 0.32792 3.0104E+52 3.9300E+52 3.5633E+00 4.9521E+00
2.6300e-03 9.5603e+00 3.9682e+07 3.7219e+02 0.32813 3.0107E+52 3.9302E+52 3.5633E+00 4.9521E+00
3.0100e-03 9.4863e+00 3.8678e+07 3.7562e+02 0.32834 3.0120E+52 3.9318E+52 3.5633E+00 4.9524E+00
3.3800e-03 9.4135e+00 3.7701e+07 3.7908e+02 0.32854 3.0138E+52 3.9340E+52 3.5631E+00 4.9527E+00
3.7600e-03 9.3420e+00 3.6728e+07 3.8256e+02 0.32875 3.0015E+52 3.9196E+52 3.5629E+00 4.9531E+00
4.1300e-03 9.2721e+00 3.5741e+07 3.8606e+02 0.32895 3.0036E+52 3.9234E+52 3.5627E+00 4.9532E+00
4.5100e-03 9.2025e+00 3.4740e+07 3.8960e+02 0.32914 3.0062E+52 3.9285E+52 3.5627E+00 4.9533E+00
4.8900e-03 9.1318e+00 3.3738e+07 3.9318e+02 0.32933 3.0097E+52 3.9346E+52 3.5627E+00 4.9531E+00
5.2600e-03 9.0625e+00 3.2716e+07 3.9679e+02 0.32952 3.0141E+52 3.9419E+52 3.5627E+00 4.9529E+00
5.6400e-03 8.9931e+00 3.1669e+07 4.0045e+02 0.32969 3.0078E+52 3.9308E+52 3.5628E+00 4.9519E+00
6.0200e-03 8.9221e+00 3.0608e+07 4.0415e+02 0.32988 3.0143E+52 3.9398E+52 3.5629E+00 4.9521E+00
6.3900e-03 8.8525e+00 2.9522e+07 4.0791e+02 0.33005 3.0212E+52 3.9493E+52 3.5629E+00 4.9522E+00
6.7700e-03 8.7758e+00 2.8485e+07 4.1173e+02 0.33023 3.0231E+52 3.9519E+52 3.5625E+00 4.9520E+00
7.1500e-03 8.7005e+00 2.7762e+07 4.1561e+02 0.33040 3.0164E+52 3.9431E+52 3.5624E+00 4.9519E+00
7.5200e-03 8.6354e+00 2.7135e+07 4.1950e+02 0.33057 3.0113E+52 3.9403E+52 3.5612E+00 4.9512E+00
7.9000e-03 8.5731e+00 2.6535e+07 4.2340e+02 0.33074 3.0202E+52 3.9520E+52 3.5609E+00 4.9510E+00
8.2700e-03 8.5113e+00 2.5957e+07 4.2732e+02 0.33090 3.0233E+52 3.9576E+52 3.5600E+00 4.9505E+00
8.6500e-03 8.4517e+00 2.5389e+07 4.3125e+02 0.33106 3.0174E+52 3.9504E+52 3.5599E+00 4.9504E+00
9.0300e-03 8.3935e+00 2.4824e+07 4.3518e+02 0.33121 3.0264E+52 3.9632E+52 3.5596E+00 4.9502E+00
9.4000e-03 8.3365e+00 2.4261e+07 4.3913e+02 0.33137 3.0237E+52 3.9603E+52 3.5594E+00 4.9495E+00
9.7800e-03 8.2795e+00 2.3703e+07 4.4310e+02 0.33151 3.0186E+52 3.9540E+52 3.5594E+00 4.9495E+00
1.0150e-02 8.2241e+00 2.3145e+07 4.4708e+02 0.33166 3.0219E+52 3.9595E+52 3.5594E+00 4.9500E+00
1.0530e-02 8.1695e+00 2.2580e+07 4.5108e+02 0.33180 3.0172E+52 3.9536E+52 3.5592E+00 4.9498E+00
1.0910e-02 8.1155e+00 2.2010e+07 4.5510e+02 0.33194 3.0261E+52 3.9651E+52 3.5596E+00 4.9503E+00
1.1280e-02 8.0606e+00 2.1438e+07 4.5915e+02 0.33208 3.0120E+52 3.9452E+52 3.5597E+00 4.9505E+00
1.1660e-02 8.0117e+00 2.0844e+07 4.6322e+02 0.33221 3.0212E+52 3.9568E+52 3.5601E+00 4.9511E+00
1.2030e-02 7.9667e+00 2.0184e+07 4.6732e+02 0.33234 3.0114E+52 3.9437E+52 3.5605E+00 4.9517E+00
1.2410e-02 7.9169e+00 1.9512e+07 4.7148e+02 0.33246 3.0209E+52 3.9559E+52 3.5608E+00 4.9523E+00
1.2790e-02 7.8663e+00 1.8849e+07 4.7569e+02 0.33258 3.0193E+52 3.9541E+52 3.5607E+00 4.9523E+00
1.3160e-02 7.8143e+00 1.8196e+07 4.7996e+02 0.33270 3.0105E+52 3.9416E+52 3.5617E+00 4.9528E+00
1.3540e-02 7.7603e+00 1.7567e+07 4.8429e+02 0.33281 3.0102E+52 3.9416E+52 3.5616E+00 4.9528E+00
1.3920e-02 7.7065e+00 1.6954e+07 4.8869e+02 0.33292 3.0038E+52 3.9331E+52 3.5618E+00 4.9533E+00
1.4290e-02 7.6503e+00 1.6359e+07 4.9314e+02 0.33302 3.0051E+52 3.9353E+52 3.5617E+00 4.9533E+00
1.4670e-02 7.5943e+00 1.5792e+07 4.9766e+02 0.33312 3.0097E+52 3.9420E+52 3.5621E+00 4.9542E+00
1.5040e-02 7.5381e+00 1.5238e+07 5.0225e+02 0.33322 3.0010E+52 3.9296E+52 3.5620E+00 4.9539E+00
1.5420e-02 7.4796e+00 1.4710e+07 5.0690e+02 0.33332 2.9969E+52 3.9251E+52 3.5620E+00 4.9542E+00
1.5800e-02 7.4226e+00 1.4206e+07 5.1161e+02 0.33341 2.9937E+52 3.9216E+52 3.5620E+00 4.9546E+00
1.6170e-02 7.3647e+00 1.3718e+07 5.1639e+02 0.33350 2.9990E+52 3.9288E+52 3.5619E+00 4.9546E+00
1.6550e-02 7.3077e+00 1.3279e+07 5.2122e+02 0.33359 2.9972E+52 3.9270E+52 3.5619E+00 4.9550E+00
1.6930e-02 7.2617e+00 1.2953e+07 5.2610e+02 0.33367 2.9856E+52 3.9119E+52 3.5624E+00 4.9550E+00
1.7300e-02 7.2237e+00 1.2678e+07 5.3100e+02 0.33375 2.9849E+52 3.9108E+52 3.5625E+00 4.9552E+00
1.7680e-02 7.1880e+00 1.2428e+07 5.3590e+02 0.33383 2.9913E+52 3.9193E+52 3.5624E+00 4.9551E+00
1.8060e-02 7.1543e+00 1.2185e+07 5.4079e+02 0.33391 2.9906E+52 3.9182E+52 3.5625E+00 4.9553E+00
1.8430e-02 7.1207e+00 1.1937e+07 5.4570e+02 0.33399 2.9813E+52 3.9058E+52 3.5624E+00 4.9552E+00
1.8810e-02 7.0864e+00 1.1678e+07 5.5060e+02 0.33406 2.9670E+52 3.8869E+52 3.5624E+00 4.9552E+00
1.9180e-02 7.0504e+00 1.1411e+07 5.5552e+02 0.33413 2.9666E+52 3.8865E+52 3.5624E+00 4.9552E+00
1.9560e-02 7.0140e+00 1.1139e+07 5.6045e+02 0.33420 2.9731E+52 3.8949E+52 3.5623E+00 4.9551E+00
1.9940e-02 6.9766e+00 1.0852e+07 5.6541e+02 0.33427 2.9732E+52 3.8948E+52 3.5624E+00 4.9552E+00
2.0310e-02 6.9369e+00 1.0540e+07 5.7040e+02 0.33433 2.9652E+52 3.8843E+52 3.5623E+00 4.9551E+00
2.0690e-02 6.8930e+00 1.0205e+07 5.7543e+02 0.33439 2.9559E+52 3.8698E+52 3.5632E+00 4.9556E+00
2.1060e-02 6.8457e+00 9.8321e+06 5.8053e+02 0.33445 2.9570E+52 3.8717E+52 3.5632E+00 4.9557E+00
2.1440e-02 6.7886e+00 9.3806e+06 5.8571e+02 0.33451 2.9512E+52 3.8640E+52 3.5630E+00 4.9555E+00
2.1820e-02 6.7137e+00 8.7790e+06 5.9103e+02 0.33456 2.9548E+52 3.8687E+52 3.5630E+00 4.9557E+00
2.2190e-02 6.5814e+00 8.1139e+06 5.9660e+02 0.33461 2.9530E+52 3.8663E+52 3.5628E+00 4.9556E+00
2.2570e-02 6.4798e+00 7.7024e+06 6.0241e+02 0.33465 2.9493E+52 3.8616E+52 3.5630E+00 4.9550E+00
2.2950e-02 6.4105e+00 7.4077e+06 6.0835e+02 0.33470 2.9447E+52 3.8556E+52 3.5629E+00 4.9551E+00
2.3320e-02 6.3542e+00 7.1670e+06 6.1435e+02 0.33474 2.9471E+52 3.8587E+52 3.5628E+00 4.9551E+00
2.3700e-02 6.3086e+00 6.9693e+06 6.2039e+02 0.33478 2.9435E+52 3.8542E+52 3.5627E+00 4.9553E+00
2.4080e-02 6.2702e+00 6.7964e+06 6.2645e+02 0.33482 2.9401E+52 3.8499E+52 3.5627E+00 4.9556E+00
2.4450e-02 6.2349e+00 6.6350e+06 6.3252e+02 0.33486 2.9297E+52 3.8379E+52 3.5622E+00 4.9547E+00
2.4830e-02 6.2009e+00 6.4835e+06 6.3860e+02 0.33489 2.9267E+52 3.8338E+52 3.5622E+00 4.9549E+00
2.5200e-02 6.1677e+00 6.3305e+06 6.4467e+02 0.33493 2.9308E+52 3.8389E+52 3.5622E+00 4.9553E+00
2.5580e-02 6.1274e+00 6.1389e+06 6.5077e+02 0.33497 2.9341E+52 3.8433E+52 3.5621E+00 4.9553E+00
2.5960e-02 6.0513e+00 5.8497e+06 6.5695e+02 0.33500 2.9322E+52 3.8409E+52 3.5621E+00 4.9555E+00
2.6330e-02 5.9708e+00 5.6067e+06 6.6327e+02 0.33503 2.9136E+52 3.8161E+52 3.5628E+00 4.9560E+00
2.6710e-02 5.9031e+00 5.4035e+06 6.6969e+02 0.33506 2.9138E+52 3.8162E+52 3.5629E+00 4.9562E+00
2.7090e-02 5.8471e+00 5.2326e+06 6.7618e+02 0.33509 2.9144E+52 3.8171E+52 3.5629E+00 4.9565E+00
2.7460e-02 5.7981e+00 5.0783e+06 6.8272e+02 0.33512 2.9153E+52 3.8185E+52 3.5629E+00 4.9567E+00
2.7840e-02 5.7514e+00 4.9356e+06 6.8930e+02 0.33515 2.9168E+52 3.8211E+52 3.5629E+00 4.9573E+00
2.8220e-02 5.7105e+00 4.8080e+06 6.9592e+02 0.33517 2.9021E+52 3.7983E+52 3.5629E+00 4.9564E+00
2.8590e-02 5.6738e+00 4.6903e+06 7.0254e+02 0.33520 2.9037E+52 3.8007E+52 3.5629E+00 4.9566E+00
2.8970e-02 5.6384e+00 4.5767e+06 7.0918e+02 0.33522 2.9055E+52 3.8032E+52 3.5629E+00 4.9568E+00
2.9350e-02 5.6041e+00 4.4688e+06 7.1584e+02 0.33525 2.9073E+52 3.8058E+52 3.5629E+00 4.9570E+00
2.9720e-02 5.5690e+00 4.3558e+06 7.2250e+02 0.33527 2.9032E+52 3.8004E+52 3.5629E+00 4.9569E+00
3.0100e-02 5.5125e+00 4.2094e+06 7.2922e+02 0.33529 2.8929E+52 3.7906E+52 3.5625E+00 4.9573E+00
3.0470e-02 5.4548e+00 4.0780e+06 7.3600e+02 0.33531 2.8899E+52 3.7867E+52 3.5624E+00 4.9573E+00
3.0850e-02 5.4063e+00 3.9634e+06 7.4285e+02 0.33533 2.8879E+52 3.7840E+52 3.5625E+00 4.9575E+00
3.1230e-02 5.3633e+00 3.8580e+06 7.4973e+02 0.33535 2.8914E+52 3.7885E+52 3.5626E+00 4.9576E+00
3.1600e-02 5.3217e+00 3.7581e+06 7.5665e+02 0.33537 2.8898E+52 3.7861E+52 3.5626E+00 4.9575E+00
